xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx


KiB Mem :  4084864 total,  1194036 free,  2661476 used,   229352 buff/cache
KiB Swap:  8192000 total,  8117552 free,    74448 used.  1289656 avail Mem

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
   32 ibnufir+  20   0   10540    596    576 S   0.0  0.0   0:00.00 06-memory
   32 ibnufir+  20   0   10540    612    576 S   0.0  0.0   0:00.00 06-memory [10000]
   32 ibnufir+  20   0   10540    628    592 S   0.0  0.0   0:00.00 06-memory [10008]
   32 ibnufir+  20   0   10680    636    592 S   0.0  0.0   0:00.00 06-memory [10009]
   32 ibnufir+  20   0   10616    640    596 S   0.0  0.0   0:00.00 06-memory [1000A]
   32 ibnufir+  20   0   10616    648    604 S   0.0  0.0   0:00.00 06-memory [20978]
   32 ibnufir+  20   0   10616    652    608 S   0.0  0.0   0:00.00 06-memory [20979]
   32 ibnufir+  20   0   10616    656    612 S   0.0  0.0   0:00.00 06-memory [2097A]
   32 ibnufir+  20   0   11580    668    624 S   0.0  0.0   0:00.00 06-memory [F0000]
   32 ibnufir+  20   0   10616    668    624 S   0.0  0.0   0:00.00 06-memory [10000]
   32 ibnufir+  20   0   10616    676    632 S   0.0  0.0   0:00.00 06-memory [1000]
   32 ibnufir+  20   0   10616    740    692 S   0.0  0.0   0:00.00 06-memory [10000]
   32 ibnufir+  20   0   10616    744    696 S   0.0  0.0   0:00.00 06-memory [10008]
   32 ibnufir+  20   0   10616    748    700 S   0.0  0.0   0:00.00 06-memory [10009]
   32 ibnufir+  20   0   10616    752    704 S   0.0  0.0   0:00.00 06-memory [1000A]
   32 ibnufir+  20   0   10616    816    768 S   0.0  0.0   0:00.00 06-memory [20978]
   32 ibnufir+  20   0   10616    820    768 S   0.0  0.0   0:00.00 06-memory [20979]
   32 ibnufir+  20   0   10748    824    776 S   0.0  0.0   0:00.00 06-memory [2097A]
   32 ibnufir+  20   0   11708   1784   1736 S   0.0  0.0   0:00.00 06-memory [F0000]
   32 ibnufir+  20   0   11708   1784   1736 S   0.0  0.0   0:00.00 06-memory [10000]
   32 ibnufir+  20   0   11708   1784   1732 S   0.0  0.0   0:00.00 06-memory [1000]
